reporter_region,sector_name,total_imports,intra_regional_share_pct,avg_hhi
East Asia & Pacific,Chemicals,340743502.731569,39.23892346646076,0.10977387539451543
East Asia & Pacific,Footwear & headwear,21547081.573852,77.20063885166437,0.27749167505677086
East Asia & Pacific,Hides & leather,23710451.044954,37.55098246133037,0.2072921402793783
East Asia & Pacific,Machinery & electronics,923096860.433422,71.27010061668803,0.21282781337119902
East Asia & Pacific,Metals,235877949.652443,59.44635688850144,0.15369878257209282
East Asia & Pacific,Miscellaneous manufactures,177119148.809118,52.361689586767966,0.17945693234607346
East Asia & Pacific,Plastics & rubber,136582672.106301,61.04554628308924,0.14198581764284654
East Asia & Pacific,Stone & glass,162544407.15118,34.986396691267615,0.1289940698321038
East Asia & Pacific,Textiles & clothing,95319900.349329,70.39145821389157,0.23595893586001926
East Asia & Pacific,Transport equipment,199742991.518281,36.15945212526853,0.13979017766407129
East Asia & Pacific,Wood pulp & paper,81540448.426995,45.406694732005505,0.09954320425166252
Europe & Central Asia,Chemicals,899620289.109683,73.75094911085178,0.08937106799221238
Europe & Central Asia,Footwear & headwear,72506633.474911,46.706714085898426,0.14331421328455538
Europe & Central Asia,Hides & leather,37076658.56156,54.18994164040073,0.14572631558748075
Europe & Central Asia,Machinery & electronics,1550415405.729939,55.187810725339936,0.11596033547986542
Europe & Central Asia,Metals,540242578.897813,77.50722493196234,0.10517611795087142
Europe & Central Asia,Miscellaneous manufactures,487268461.300804,60.27036520048736,0.09362186872318391
Europe & Central Asia,Plastics & rubber,342038264.850796,74.97793609596695,0.10622258257899458
Europe & Central Asia,Stone & glass,359779761.028322,51.91323530165727,0.11996552453898242
Europe & Central Asia,Textiles & clothing,282785796.268046,45.52301488677118,0.09655911063324733
Europe & Central Asia,Transport equipment,841647283.821448,76.9675441445399,0.12549997552856165
Europe & Central Asia,Wood pulp & paper,174238198.956739,83.98136475242963,0.12908306437024536
Latin America & Caribbean,Chemicals,111007913.8042,6.28287032880544,0.14384528093653623
Latin America & Caribbean,Footwear & headwear,3731196.3569300002,8.483943227272475,0.25580205026276587
Latin America & Caribbean,Hides & leather,2701796.76078,12.625764033839431,0.3655206176929951
Latin America & Caribbean,Machinery & electronics,286811183.22116,3.3442973293317344,0.18694792384441772
Latin America & Caribbean,Metals,77214929.39954,14.873693229833371,0.18337542853705074
Latin America & Caribbean,Miscellaneous manufactures,65707002.43698,3.6969831986321986,0.17431001168701746
Latin America & Caribbean,Plastics & rubber,58744918.39311,7.2206734260226755,0.2150519293880397
Latin America & Caribbean,Stone & glass,8880431.25161,8.664633688713026,0.16495082931191118
Latin America & Caribbean,Textiles & clothing,20595752.853240002,8.10535697095135,0.28304482889545385
Latin America & Caribbean,Transport equipment,93861863.62063,16.013276416297856,0.19356348856204145
Latin America & Caribbean,Wood pulp & paper,14187149.082729999,18.217463218851744,0.25715449392874146
"Middle East, North Africa, Afghanistan & Pakistan",Chemicals,32475946.525533,10.806673349519565,0.06378366912009201
"Middle East, North Africa, Afghanistan & Pakistan",Footwear & headwear,1739047.259917,1.9635880090820408,0.30706067288154354
"Middle East, North Africa, Afghanistan & Pakistan",Hides & leather,986662.27448,2.2469085798059854,0.31569913792107773
"Middle East, North Africa, Afghanistan & Pakistan",Machinery & electronics,70417635.241184,3.3893208411365996,0.16119146174245197
"Middle East, North Africa, Afghanistan & Pakistan",Metals,32184878.728494998,20.578590762024934,0.0973595598682633
"Middle East, North Africa, Afghanistan & Pakistan",Miscellaneous manufactures,22794682.158921998,6.973693951116608,0.12097121117784174
"Middle East, North Africa, Afghanistan & Pakistan",Plastics & rubber,16360267.688259,21.70090778321374,0.1176856300769661
"Middle East, North Africa, Afghanistan & Pakistan",Stone & glass,12734769.133834999,28.57190968135963,0.18994068746055084
"Middle East, North Africa, Afghanistan & Pakistan",Textiles & clothing,14526983.453077,5.913966344974582,0.24798246287200776
"Middle East, North Africa, Afghanistan & Pakistan",Transport equipment,43133154.140132,0.9854084055553356,0.1086297388318694
"Middle East, North Africa, Afghanistan & Pakistan",Wood pulp & paper,8821916.327697,11.43048684762627,0.07415076480200847
North America,Chemicals,379826368.226483,13.375126253259651,0.16569181335426422
North America,Footwear & headwear,36180685.687382996,0.5903127206527206,0.23346499736247192
North America,Hides & leather,16615204.260096,1.8361073958668102,0.15300460374725577
